"codes_1947","names_1947","codes_1948","names_1948","codes_1949","names_1949","codes_1950","names_1950","codes_1951","names_1951","codes_1952","names_1952","codes_1953","names_1953","codes_1954","names_1954","codes_1955","names_1955","codes_1956","names_1956","codes_1957","names_1957","codes_1958","names_1958","codes_1959","names_1959","codes_1960","names_1960","codes_1961","names_1961","codes_1962","names_1962","codes_1963","names_1963","codes_1964","names_1964","codes_1965","names_1965","codes_1966","names_1966","codes_1967","names_1967","codes_1968","names_1968","codes_1969","names_1969","codes_1970","names_1970","codes_1971","names_1971","codes_1972","names_1972","codes_1973","names_1973","codes_1974","names_1974","codes_1975","names_1975","codes_1976","names_1976","codes_1977","names_1977","codes_1978","names_1978","codes_1979","names_1979","codes_1980","names_1980","codes_1981","names_1981","codes_1982","names_1982","codes_1983","names_1983","codes_1984","names_1984","codes_1985","names_1985","codes_1986","names_1986","codes_1987","names_1987","codes_1988","names_1988","codes_1989","names_1989","codes_1990","names_1990","codes_1991","names_1991","codes_1992","names_1992","codes_1993","names_1993","codes_1994","names_1994","codes_1995","names_1995","codes_1996","names_1996","codes_1997","names_1997","codes_1998","names_1998","codes_1999","names_1999","codes_2000","names_2000","codes_2001","names_2001","codes_2002","names_2002","codes_2003","names_2003","codes_2004","names_2004","codes_2005","names_2005","codes_2006","names_2006","codes_2007","names_2007","codes_2008","names_2008","codes_2009","names_2009","codes_2010","names_2010","codes_2011","names_2011","codes_2012","names_2012","codes_2013","names_2013","codes_2014","names_2014","codes_2015","names_2015","codes_2016","names_2016","codes_2017","names_2017","codes_2018","names_2018","codes_2019","names_2019","codes_2020","names_2020","codes_2021","names_2021","codes_2022","names_2022","codes_2023","names_2023","codes_2024","names_2024","codes_2025","names_2025"
"33.1-33.2","Primary Iron and Steel industries","33.1-33.2","Primary Iron and Steel industries","33.1-33.2","Primary Iron and Steel industries","20.-39.","All Manufacturing, except newspapers","38","Instruments and Related Products","20.-39.","All Manufacturing, (Except Newspapers)","20.-39.","All Manufacturing, (Except Newspapers)","98","All Nondurable Goods Manufacturing Industries (Except Newspapers)","98","All Nondurable Goods Manufacturing Industries (Except Newspapers)","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","35","Other Machinery","35","Other Machinery","35","Other Machinery","35","Other Machinery","35","Other Machinery","35","Other Machinery","35","Other Machinery","35","Other Machinery","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","99","All Durable Manufacturing Corporations","99","All Durable Manufacturing Corporations","99","All Durable Manufacturing Corporations","99","Durable Goods","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","54","Retail Food Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts","376","Motor Vehicles and Parts"
"33.5-33.6","Primary non-ferrous Metals","33.5-33.6","Primary non-ferrous Metals","33.5-33.6","Primary non-ferrous Metals","33.1-33.2","Primary Iron and Steel industries","39","Miscellaneous Manufacturing","33.1-33.2","Primary Iron & Steel Industries","33.1-33.2","Primary Iron & Steel Industries","99","All Durable Goods Manufacturing Industries","99","All Durable Goods Manufacturing Industries","37","Other Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","99.099999999999994","Other Durable Manufacturing Products","99.099999999999994","Other Durable Manufacturing Products","99.099999999999994","Other Durable Manufacturing Products","99.099999999999994","Other Durable Manufacturing Products","99.099999999999994","Other Durable Manufacturing Industries Other Durable Manufacturing Products","99.099999999999994","Other Durable Manufacturing Industries","98","All Nondurable Manufacturing Industries","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals","381","Nonferrous Metals"
,,,,,,"33.5-33.6","Primary non-ferrous Metals","20.-39.","All Manufacturing, except newspapers","33.5-33.6","Primary Nonferrous Metals","33.5-33.6","Primary Nonferrous Metals","20.-39.","All Manufacturing, (Except Newspapers)","20.-39.","All Manufacturing, (Except Newspapers)","37.100000000000001","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","10.-14.","All Mining Corporations","10.-14.","All Mining Corporations","10.-14.","All Mining Corporations","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","98.099999999999994","Other Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment","384","Communications Equipment"
,,,,,,,,"33.1-33.2","Iron and Steel",,,,,"33.1-33.2","Primary Iron and Steel Industries","33.1-33.2","Primary Iron and Steel Industries","37.700000000000003","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","37.200000000000003","Aircraft and Parts","37.200000000000003","Aircraft and Parts","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","20.-39.","All Manufacturing Corporations","20.-39.","All Manufacturing Corporations","20.-39.","All Manufacturing Corporations","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","99","All Durable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines","385","Pharmaceuticals and Medicines"
,,,,,,,,"33.5-33.6","Nonferrous Metals",,,,,"33.5-33.6","Primary Nonferrous Metals Industries","33.5-33.6","Primary Nonferrous Metals Industries","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","371","Motor Vehicles and Equipment","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1,2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","99.099999999999994","Other Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","54","Retail Food Stores","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts","386","Aerospace Products and Parts"
,,,,,,,,,,,,,,,,,,"39","Miscellaneous Manufacturing (Including Ordnance)","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing & Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","37.700000000000003","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","372","Aircraft and Parts","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5,6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","10.-14.","All Mining","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","99.099999999999994","Other Durable Manufacturing Industries","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods","421","Wholesale Trade, Durable Goods"
,,,,,,,,,,,,,,,,,,"98","All Nondurable Goods Manufacturing Industries (Except Newspapers)","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","50.-51.","All Wholesale Trade Corporations","50.-51.","All Wholesale Trade Corporations","50.-51.","All Wholesale Trade Corporations","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","20.-39.","All Manufacturing","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods","422","Wholesale Trade, Nondurable Goods"
,,,,,,,,,,,,,,,,,,"99","All Durable Goods Manufacturing Industries","99","Durable Goods","99","Durable Goods","99","Durable Goods","99","Durable Goods","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39&19","Miscellaneous Manufacturing and Ordnance","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","39","Miscellaneous Manufacturing","53.-59.","All Retail Trade Corporations","53.-59.","All Retail Trade Corporations","53.-59.","All Retail Trade Corporations","53.-59.","All Retail Trade","53.-59.","All Retail Trade","53.-59.","All Retail Trade","33.1-33.2","Iron and Steel","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores","445","Food and Beverage Stores"
,,,,,,,,,,,,,,,,,,"20.-39.","All Manufacturing Industries","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","98","Nondurable Goods","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries",,,,,,,,,,,,,"33.5-33.6","Nonferrous Metals","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.1-33.2","Iron and Steel","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","99.1","Other Durable Manufacturing Industries","99.1","Other Durable Manufacturing Industries","99.1","Other Durable Manufacturing Industries","99.1","Other Durable Manufacturing Industries","99.1","Other Durable Manufacturing Industries","99.1","Other Durable Manufacturing Industries","99.1","Other Durable Manufacturing Industries","99.1","Other Durable Manufacturing Industries","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","448","Clothing and General Merchandise Stores","458","General Merchandise and Clothing Stores","458","General Merchandise and Clothing Stores","458","General Merchandise and Clothing Stores"
,,,,,,,,,,,,,,,,,,"33.1-33.2","Primary Iron and Steel","331-2","Primary Iron and Steel","331-2","Primary Iron and Steel","33.1-33.2","Primary Iron and Steel","33.1-33.2","Primary Iron and Steel","99","Durable Goods","99","Durable Goods","99","Durable Goods","99","Durable Goods","99","Durable Goods","99","Durable Goods","99","Durable Goods","99","Durable Goods","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries","99","All Durable Manufacturing Industries",,,,,,,,,,,,,"50.-51.","All Wholesale Trade","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","33.5-33.6","Nonferrous Metals","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","10.-14.","All Mining","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade","450","All Other Retail Trade"
,,,,,,,,,,,,,,,,,,"33.5-33.6","Primary Nonferrous Metals","333-6","Primary Nonferrous Metals","333-6","Primary Nonferrous Metals","33.3-33.6","Primary Nonferrous Metals","33.3-33.6","Primary Nonferrous Metals","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing Corporations, Except Newspapers","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing",,,,,,,,,,,,,"53.-59.","All Retail Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","50.-51.","All Wholesale Trade","53.-59.","All Retail Trade","53.-59.","All Retail Trade","53.-59.","All Retail Trade","53.-59.","All Retail Trade","53.-59.","All Retail Trade","53.-59.","All Retail Trade","53.-59.","All Retail Trade","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","20.-39.","All Manufacturing","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","CHEM(325,375,385)","Chemicals","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","511","Publishing Industries, except Internet","512","Motion Picture and Sound Recording","512","Motion Picture and Sound Recording","512","Motion Picture and Sound Recording"
