date,FA893065603.Q,FA183165603.Q,FA233165605.Q,FA893065603.Q,FA153065605.Q,FA113065603.Q,FA313065605.Q,FA213065603.Q,FA763065633.Q,FA753065603.Q,FA473065603.Q,FA543065633.Q,FA223065643.Q,FA403065605.Q,FA413065605.Q
2021:Q4,36096,9512,26584,36096,8748,-32,1080,-88,4032,-252,312,2116,0,18760,1420
2022:Q1,9864,3772,6092,9864,-5384,44,612,-4,6116,-100,216,1284,0,7116,-36
2022:Q2,9972,3452,6520,9972,-7368,48,1168,-8,6184,164,308,1296,0,8164,16
2022:Q3,10080,2892,7188,10080,-5380,44,1272,-4,6248,-4,432,1308,0,6184,-20
2022:Q4,10084,3404,6680,10084,-5656,44,940,-4,6252,80,-28,1312,0,7316,-172
2023:Q1,10060,3764,6296,10060,4588,48,880,-164,1776,-172,164,0,0,2980,-40
2023:Q2,10172,3496,6676,10172,596,24,1260,-156,1796,-84,20,0,0,4244,2472
2023:Q3,10284,3716,6568,10284,3920,12,984,-152,1812,168,172,0,0,3436,-68
2023:Q4,10284,2316,7968,10284,1684,20,1148,-148,1816,-196,308,0,0,5396,256
2024:Q1,15516,5260,10256,15516,-220,24,1184,28,4900,36,-16,1016,0,8424,140
2024:Q2,15512,4756,10756,15512,-904,24,1656,24,4896,-48,296,1020,0,8380,168
2024:Q3,15688,4740,10948,15688,-2616,28,1384,28,4952,444,72,1028,0,10156,212
2024:Q4,15684,4852,10832,15684,-2460,36,1584,24,4952,-16,208,1028,0,9728,600
2025:Q1,13808,4144,9664,13808,-1716,28,1084,24,4360,-240,196,904,0,8544,624
