row,industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
116,"        Data processing, internet publishing, and other information services",46.2,50.8,64.1,70.7,74.1,81.2,82.6,89.6,96.7,108.9,118.5,138.2,143.4,162.5,188.7,221.5,240.9,261.7,290.5,323.5,365.2,428.4,481.8,537.5,661.2,741.8,786.3
117,"            Data processing, hosting, and related services",37.2,40.2,50.3,52.2,57.9,64.4,63.2,65.7,68.5,75.5,79,88.7,88.7,97.2,108.6,121.9,130.9,137.2,148,156.7,176.2,207,230.8,255.7,309.4,354.8,376.5
118,            Other information services,8.9,10.6,13.8,18.5,16.2,16.8,19.3,23.9,28.1,33.4,39.4,49.5,54.7,65.3,80,99.6,110,124.5,142.5,166.7,189,221.3,250.9,281.8,351.7,387,409.8
119,"    Finance, insurance, real estate, rental, and leasing",2411.8,2610.6,2833.7,3129.7,3214.1,3336.3,3560.2,3866.3,4245.9,4477.7,4686.5,4690,4506,4640.5,4780.9,5070.3,5379.9,5691.2,5946.7,6166.8,6455.1,6775.1,7065.8,7284.8,8019.9,8626.2,9336.9
120,        Finance and insurance,1005.9,1113.1,1234.6,1395.4,1381.4,1401.6,1499.4,1613.2,1750.8,1885.2,2025.2,1992.6,1881.6,1917.6,1986.7,2155.9,2301.8,2473.5,2576.8,2643,2807.7,2938.2,3007.9,3126,3337.4,3494.8,3784.4
121,"            Federal Reserve banks, credit intermediation, and related activities",393.8,429.9,477.4,528,548,581.8,614.3,631.6,674.9,704.4,717.4,701,700.1,691.9,693.1,761.6,814,874.9,906.2,975.1,1057.9,1111.9,1119.9,1147.3,1202.7,1254.9,1371.7
122,"            Securities, commodity contracts, and investments",206,243.9,292.4,357.2,312.8,286.4,308,344.5,382,446.9,501.6,457.3,436.2,454.4,452.2,478.5,511.1,541.9,542.1,530.9,549.3,579.8,608,631.9,720.7,722.3,828.4
123,            Insurance carriers and related activities,350,373.8,390.2,420.3,439.6,462,506.9,556.4,605.7,636,691.9,715.9,645.4,662.3,727.7,798.6,837.4,910.7,963.3,979,1043.1,1097.4,1132.6,1191.1,1233.3,1326.9,1378.2
124,                Direct life insurance carriers,55.1,56,57.4,65.4,62.2,58.8,60.5,72.3,79.3,84.1,87.3,86.6,78.1,78.6,82.6,82.1,82.1,85.3,87.1,73.6,91.9,93,92.4,90.8,99.3,109.1,118.3
125,"                Insurance carriers, except direct life insurance",206.5,222.1,231,244.3,260.4,278.3,313,340.1,372.9,390.2,434.9,445.7,380.9,385.5,420.2,430.4,448.4,503.8,540.9,558.9,588.4,622.6,639.7,674.8,676,725.4,713.6
126,"                Agencies, brokerages, and other insurance related activities",88.3,95.8,101.8,110.6,117.1,124.9,133.4,144.1,153.6,161.8,169.7,183.6,186.5,198.3,224.9,286.1,307,321.6,335.3,346.5,362.9,381.8,400.6,425.4,458,492.4,546.3
127,"            Funds, trusts, and other financial vehicles",56.1,65.4,74.6,89.9,80.9,71.4,70.3,80.6,88.2,97.9,114.3,118.3,99.9,109,113.8,117.3,139.3,146.1,165.1,158.1,157.4,149.2,147.4,155.7,180.7,190.7,206
128,        Real estate and rental and leasing,1406,1497.5,1599.2,1734.3,1832.7,1934.6,2060.8,2253.2,2495.1,2592.4,2661.3,2697.4,2624.4,2722.9,2794.1,2914.4,3078.1,3217.7,3369.9,3523.8,3647.4,3836.9,4057.8,4158.8,4682.5,5131.4,5552.5
129,            Real estate,1256.1,1327.1,1410.9,1524.2,1622.8,1732.7,1841.9,2022.2,2244.6,2329.9,2391.1,2407.8,2373.4,2454.3,2509.4,2615.8,2758.8,2876.1,3033.8,3182.2,3298.7,3456.7,3654.8,3755.1,4157.2,4540.6,4897.5
130,                Housing,857.9,911.4,968,1028.5,1103.7,1148.9,1193.8,1264.8,1355,1429.2,1505.9,1593.9,1616.9,1650.9,1686.1,1726.7,1783.8,1829.1,1885,1958.4,2033.6,2116,2218.9,2343.4,2477,2695.4,2927.3
131,                    Owner-occupied housing,636.6,681.6,726.6,778,838.5,877,919,973.4,1046,1106.8,1171.3,1245,1262,1285.4,1302.9,1320.8,1362.5,1391.1,1430.9,1489.9,1553.2,1614.7,1686.6,1791.9,1891.5,2053.2,2231.4
132,                    Tenant-occupied housing,221.3,229.7,241.4,250.5,265.2,271.8,274.8,291.4,309,322.4,334.6,348.8,354.9,365.5,383.2,405.8,421.3,438,454.1,468.5,480.4,501.3,532.3,551.5,585.5,642.2,695.9
133,                Other real estate,398.2,415.7,442.9,495.7,519.1,583.9,648,757.5,889.6,900.8,885.2,814,756.5,803.4,823.3,889.1,975,1047,1148.8,1223.8,1265,1340.6,1435.8,1411.8,1680.1,1845.2,1970.2
134,            Rental and leasing services and lessors of intangible assets,149.9,170.4,188.3,210.1,209.9,201.9,218.9,230.9,250.6,262.5,270.2,289.5,251,268.5,284.7,298.6,319.3,341.6,336.1,341.6,348.7,380.3,403.1,403.7,525.4,590.8,655
135,    Professional and business services,1345.8,1510.3,1653.9,1810,1835.4,1852.2,1944.2,2100.2,2281.3,2438.4,2643.5,2739.1,2593.8,2712.3,2868.6,3009,3090.9,3290.2,3442.7,3599,3827.9,4081,4321,4311.9,4794.1,5337.2,5576.7
136,"        Professional, scientific, and technical services",799.8,889.6,977.7,1073.9,1103.5,1122.6,1171.6,1247.5,1346.2,1431.9,1544.6,1624.2,1559.8,1618,1710.8,1785,1820.3,1918.4,1994.7,2076.4,2204,2340,2475.8,2522.2,2817.2,3112.1,3299.5
137,            Legal services,155.6,170.2,180.9,187.7,200.7,212,239,252,270.2,281,290.4,292.1,279.9,286,297.8,306.9,308.2,316.2,329,335,354.7,358.8,371,374.7,412.3,437.8,447.7
138,            Computer systems design and related services,123.9,153.6,186.2,210.7,205.2,199.7,197.7,201.6,217.8,230.5,257,281.9,279.7,305,330.9,354.2,365.3,391.5,401.6,434,476,519.2,531.8,551.1,610.8,676.3,706.2
139,"            Miscellaneous professional, scientific, and technical services",520.3,565.8,610.6,675.5,697.5,710.8,734.9,793.9,858.2,920.5,997.2,1050.2,1000.2,1026.9,1082.1,1123.9,1146.8,1210.7,1264.1,1307.4,1373.3,1461.9,1573,1596.4,1794.2,1998,2145.6
140,"                Accounting, tax preparation, bookkeeping, and payroll services",72.2,80.1,87.5,96.6,101.3,102.9,105.1,108.6,115.3,121.5,132.1,141.1,141.9,141.9,149.2,162.3,163.3,167.8,174.1,171.1,171.5,177.9,188.1,192.7,208.1,224.6,240.4
141,"                Architectural, engineering, and related services",131.8,144.5,153.5,170,175.8,174.4,180.7,203.3,228.3,249.7,272.1,292.1,264.6,262.6,280.5,281.1,281.5,297.7,310.8,317.2,330.6,349.3,371.1,365.3,387.7,430.5,459.5
142,"                Management, scientific, and technical consulting services",82.8,90.8,98.6,107.3,115.7,122.6,124.4,135.8,151.9,161,176.8,190.5,185.1,204.8,224.3,243.2,255.9,273.4,283.1,296.2,306.1,324.2,342.9,348.6,393.6,442,465.1
143,                Scientific research and development services,93.3,101.1,111.5,125.2,127.5,135.1,138.5,142.2,142.9,149.8,157,167,169,171.7,176.8,177.4,183.6,195.4,212.4,227.6,255.4,279.1,317.6,338.2,399.2,441.7,484.5
144,"                Advertising, public relations, and related services",57.3,64.5,72.1,83,83.2,81.8,86.6,95.6,104.1,116.2,129,125.3,110.7,111.8,111.1,112.9,113.1,116.4,118.4,124.7,129.7,141.2,150.4,149.9,166.2,185.6,201.2
145,"                Specialized design services and other professional, scientific, and technical services",82.9,84.7,87.3,93.3,94.1,94,99.6,108.2,115.6,122.3,130.3,134.2,129,134.2,140.3,147,149.4,160,165.4,170.6,180.1,190.3,202.9,201.7,239.4,273.6,295
146,        Management of companies and enterprises,195.2,221.7,240.2,260.2,259.6,261.8,280.6,320.8,354.8,383.6,433.5,432.6,400.2,422.2,446.5,478.8,492.9,518.7,542.3,541.1,568.6,600.9,631.7,639,688.3,756.1,784.2
147,        Administrative and waste management services,350.9,399,436.1,475.9,472.3,467.8,492,531.9,580.3,622.8,665.4,682.2,633.9,672.1,711.3,745.1,777.7,853.2,905.7,981.5,1055.2,1140,1213.4,1150.7,1288.6,1468.9,1492.9
148,            Administrative and support services,308.9,352.6,385.4,423.2,418.9,414.4,434.7,469.9,513.5,549.4,588.9,602.7,559,589.7,628.1,661.6,690.7,759.1,809.2,876.3,939.6,1016.6,1085.2,1022.5,1147.3,1313.5,1326.1
149,                    Employment services,80.6,105.4,118.3,135.2,123.2,115.5,122.1,136.6,152.2,167.2,179.1,187.1,169.2,195.7,222.9,247.7,260.8,298.3,326.2,359.8,386.6,412.3,439.2,418.4,479.1,537.3,495.6
150,                    Services to buildings and dwellings,68.9,75.4,82,89.4,95.8,100.2,106.3,113.3,121.8,129.6,140.7,141.8,131.8,133.7,137.6,141.4,149.2,163.3,172,184.9,196,222.6,241.8,249.5,280.5,316.8,331.7
151,                    Other administrative and support services,159.5,171.8,185.1,198.6,200,198.7,206.3,220,239.5,252.6,269,273.8,258.1,260.3,267.6,272.4,280.7,297.4,311,331.6,357,381.7,404.2,354.6,387.6,459.4,498.7
152,            Waste management and remediation services,42,46.5,50.7,52.7,53.4,53.5,57.3,62,66.8,73.5,76.5,79.5,74.8,82.4,83.2,83.6,87,94.1,96.4,105.2,115.6,123.4,128.2,128.3,141.3,155.4,166.9
153,"    Educational services, health care, and social assistance",929.2,987.7,1038.4,1110.1,1208.4,1307,1396.1,1482.9,1579.6,1675.2,1781.4,1899.2,1998.3,2091.6,2174.6,2266.9,2311,2386.4,2514.2,2635.1,2744.3,2848.8,2985.8,2894.2,3184.1,3458.8,3760.8
154,        Educational services,113.1,121.7,129.8,141.7,155.5,166.2,176.5,185.3,195.1,213.5,236.6,257.3,273.5,292.9,306.4,309.6,319.3,329.6,339.7,349.9,357.5,369.5,383.2,356.7,385.3,437,473.4
155,        Health care and social assistance,816.1,865.9,908.6,968.4,1052.9,1140.8,1219.5,1297.6,1384.5,1461.8,1544.8,1641.9,1724.8,1798.7,1868.1,1957.3,1991.6,2056.7,2174.5,2285.2,2386.9,2479.3,2602.6,2537.6,2798.8,3021.8,3287.5
156,            Ambulatory health care services,388,407.8,425.6,452.4,492.4,529.5,566.8,607.4,643,671.9,708,745.7,773.5,803.3,833.8,869.3,872.6,908.3,958.7,1015.1,1072.3,1109.2,1162.3,1106.1,1245.9,1346.6,1474.6
157,                Offices of physicians,184,195.3,206,223.2,243.5,263.9,284.9,306,322.2,335.9,351.8,369.1,378.5,390.8,406,419.1,418.9,434.5,456.6,478.2,494.7,511,531.2,506.4,563,603,657.2
158,                Offices of dentists,51.4,55.2,59.1,64.3,70.1,76.4,78.6,84.1,88.6,92,97.4,102.3,102.5,104.8,106.1,107.5,109.1,112.5,117.8,124.2,129.7,136.1,142.5,119,146.1,162.5,173.2
159,                Offices of other health practitioners,42.9,43.7,43.6,43.9,47.7,48.2,52.4,56.3,58.9,61.1,65.4,71,74.6,81.2,85.5,87,88,91.8,96.4,100.7,104.5,111.6,118.3,112.2,129.1,143,163.8
160,                Outpatient care centers,39.8,41.5,44.6,46.7,51.3,57.1,60.2,62.2,67.2,70.1,71.9,76.5,82.8,87.3,89.7,100.4,103.2,114.2,127.7,145.7,163.3,168.6,180.3,178.3,196.5,208.9,230
161,                Other ambulatory health care services,70,72.1,72.5,74.4,79.8,83.8,90.6,98.9,106.1,112.8,121.5,126.9,135.2,139.2,146.5,155.2,153.4,155.3,160.2,166.3,180.1,181.8,189.9,190.2,211.2,229.2,250.4
162,            Hospitals,271.3,289.8,303.3,320.4,345.7,382.4,408.9,435.5,469.8,502.2,530,569.4,611.1,636.9,667.9,709.4,730.5,742.6,789.4,821.4,846.2,883.6,931.2,920.4,1010,1084.8,1160.9
163,            Nursing and residential care facilities,95.2,102,105.9,112.5,121.2,128.4,137.4,144.5,154.8,163.2,172.6,181.4,186.6,195.7,201.9,209,213.8,221.2,231,239.6,243.9,250.2,261.3,257,263.9,286,317.1
164,            Social assistance,61.6,66.3,73.8,83.1,93.7,100.6,106.4,110.2,116.9,124.4,134,145.4,153.5,162.8,164.6,169.7,174.8,184.6,195.4,209.2,224.5,236.3,247.9,254,278.9,304.3,334.9
165,"    Arts, entertainment, recreation, accommodation, and food services",550.9,582.3,618.5,670.2,689.6,720.4,757.9,807.2,854.9,912.4,955.8,978.5,955.1,979.2,1030,1093.6,1142,1217.5,1309.5,1373.1,1452.9,1535.6,1612.2,1249,1656.5,1986.3,2188.6
166,"        Arts, entertainment, and recreation",127.4,133.5,142.6,151.5,160,167.3,180.5,191.9,202,222.7,241.6,247.6,244.1,245.9,252.2,264.6,276.2,292.9,311.6,327.6,352.5,374.3,396.7,291.3,388.1,477,517.7
167,"            Performing arts, spectator sports, museums, and related activities",59.3,64.6,69.2,75.9,83,91,97.5,101.1,106.4,116.4,126.7,131.8,133.3,134,136.6,144.8,151.1,162.4,174.1,183.1,199,212.1,224.4,155.2,207,263.5,280.9
168,"            Amusements, gambling, and recreation industries",68.1,68.9,73.4,75.6,77,76.3,83,90.8,95.6,106.3,114.9,115.8,110.9,111.9,115.6,119.8,125.1,130.5,137.5,144.5,153.5,162.1,172.3,136.1,181.2,213.5,236.8
169,        Accommodation and food services,423.5,448.8,475.9,518.7,529.6,553.1,577.5,615.3,652.8,689.7,714.3,730.9,711,733.3,777.9,829,865.8,924.6,997.9,1045.6,1100.4,1161.3,1215.5,957.7,1268.4,1509.3,1670.9
170,            Accommodation,116.5,123.8,133.8,150.3,144.7,147.6,151.2,163.1,177.3,187.4,192.8,198,181.9,185.7,198.7,215,226,244.1,258.6,269.3,282.9,298,306.5,182.5,248.4,335.2,374.5
171,            Food services and drinking places,307,325,342.1,368.4,384.9,405.5,426.2,452.2,475.5,502.3,521.5,532.9,529.1,547.6,579.1,614,639.7,680.4,739.3,776.2,817.5,863.3,909,775.2,1020,1174.1,1296.4
172,"    Other services, except government",352.1,384.1,402.3,425.7,442.4,458.1,468.7,487.6,497.2,523.4,536.3,550.4,521.4,534.8,548.7,576,587.2,626.5,650.7,682.2,708.9,741.3,776.8,726.7,804.5,927.3,1016.5
173,        Repair and maintenance,134.3,144.7,152.3,155.5,160.2,160.6,165.7,171.4,172.5,178.8,181.4,178.4,168,172,180.5,185.9,188.4,196.5,204.5,211.4,227.3,235.5,253.3,236.2,272.5,313.3,334.7
174,        Personal and laundry services,94.2,101.6,108.4,114.5,117.4,122.4,127.7,134.3,143.7,149,153.1,157.3,148.7,156.7,161,167.6,172.1,181.2,188.7,194.3,202.8,213,221.1,176,218.4,260.3,303.6
175,"        Religious, grantmaking, civic, professional, and similar organizations",111.4,123.7,128.7,141.9,151.8,162.3,161.1,166.7,165.8,179.2,183.7,195.6,187.3,190.8,190.8,205.2,208.5,227.9,236.1,256.4,260.1,270.8,279.4,292.1,291.6,328.6,352.7
176,        Private households,12.2,14.1,12.9,13.8,13.1,12.8,14.2,15.1,15.3,16.4,18,19.1,17.4,15.3,16.3,17.3,18.2,20.8,21.3,20,18.7,22,23,22.5,22,25.1,25.5
177,Government,1665.7,1730.3,1834.7,1951.1,2080.4,2216,2342.9,2479.5,2623.9,2778,2934.1,3122.8,3228.5,3337.9,3365.8,3391.2,3431.5,3497.1,3571.3,3651.9,3747.6,3941.9,4128.4,4266,4578.5,4901.5,5097.4
178,    Federal,542.1,542.6,562.9,587.9,620,680,752.4,806.6,854.4,902.3,942,1025.2,1080.8,1147.9,1150.6,1145.6,1098.8,1097.1,1098.7,1110.7,1124.5,1185.7,1242.2,1321,1414.4,1458.5,1529.6
179,        Federal general government,465.1,464.5,481.4,503.9,536,592.4,665.1,718.4,765,805.6,841.1,922.6,981.8,1049.4,1055,1046.7,1003.2,999,1000.6,1013,1029.6,1087,1143.3,1220.4,1302.8,1343.5,1419.9
180,            National defense,304.9,301,313.3,321.6,339.8,374.6,428.3,466.3,497.2,522.6,550,606.1,637.3,675.6,688.1,676.3,636.6,623.6,610.7,612,624.3,659.5,702.3,725.9,750.4,768.2,826
181,            Nondefense,160.3,163.5,168.1,182.4,196.2,217.8,236.8,252,267.8,283,291.1,316.6,344.4,373.8,366.9,370.4,366.6,375.4,389.9,401,405.4,427.5,440.9,494.5,552.4,575.2,594
182,        Federal government enterprises,76.9,78.2,81.5,84,84.1,87.6,87.3,88.2,89.4,96.7,100.9,102.6,99,98.5,95.6,98.9,95.6,98.1,98.1,97.8,94.8,98.8,98.9,100.6,111.6,115.1,109.7
183,    State and local,1123.7,1187.7,1271.8,1363.2,1460.3,1536,1590.5,1672.9,1769.6,1875.7,1992.1,2097.6,2147.7,2190.1,2215.2,2245.6,2332.8,2400,2472.5,2541.2,2623.1,2756.2,2886.3,2945,3164.1,3442.9,3567.9
184,        State and local general government,993.5,1052.9,1130.6,1216.3,1308.1,1375.5,1420,1490.5,1573.8,1663.8,1768.7,1857.1,1891.3,1916.9,1928.7,1947.1,2021.4,2077.4,2140.2,2200.2,2268.9,2383.8,2503.9,2598.7,2773.4,3004.7,3108
185,            State and local government educational services,448.5,476.5,509.4,550,589.4,613,639.3,674.1,709.5,750.2,797.2,836,854,869.9,875.9,897.1,921.6,945.8,973.9,1002.1,1020,1069.4,1120.3,1164.9,1234.9,1335.6,1377.1
186,            State and local government hospitals and health services,115.9,120,128.8,137.5,149,159.1,164.9,174.2,183,192.5,209.4,225.3,233.3,240,245.3,237.6,262.1,272.1,283.6,299.7,312.9,329,346.2,350.2,384.6,409.9,436.2
187,            State and local government other services,429.2,456.3,492.5,528.8,569.7,603.4,615.9,642.2,681.3,721,762.2,795.8,803.9,806.9,807.5,812.3,837.7,859.5,882.6,898.4,936,985.5,1037.4,1083.6,1153.9,1259.2,1294.7
188,        State and local government enterprises,130.2,134.8,141.2,146.9,152.2,160.5,170.5,182.4,195.8,212,223.4,240.5,256.4,273.2,286.5,298.6,311.3,322.6,332.3,341,354.2,372.4,382.4,346.3,390.7,438.2,459.8
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,        Private goods-producing industries 1,5042,5144.5,5325.2,5666.7,5484.2,5379.9,5612.5,6126.3,6786.8,7195.1,7570,7756,6356.2,6902.2,7647,7916.3,8229.3,8489.7,7994.8,7790.9,8166.3,8739.1,8670.3,8049.9,9420.8,10871.6,10888
190,        Private services-producing industries 2,8685.9,9342.2,10113.4,11008,11319.9,11577.9,12185.2,13083.4,14107.1,14952.4,15746.2,16146.1,15374.7,16239.4,17037.4,17924.6,18728,19808.9,20667.9,21455.3,22554.3,23823.5,24859.2,24394.1,27810.1,30860.4,32401.4
191,        Information-communications-technology-producing industries 3,993.7,1087.4,1224.4,1375.3,1320,1249,1239.6,1274,1337.2,1411.3,1471.7,1522.5,1456.4,1532.2,1617.7,1685.1,1753.6,1854,1929.4,2064,2171.3,2324.8,2417.5,2525,2812.7,3053.1,3148.6
